chi multiples
 N    ID    z   Narcs    chip    chix    chiy    chia   rmss     rmsi    dx      dy    nwarn
 0    D4b 6.200   1      0.01    0.00    0.00    0.00   0.004    0.02    0.01   -0.02  0
 0    D4a 6.200   1      0.01    0.00    0.00    0.00   0.004    0.02    0.01   -0.01  0
 0    D4b 6.200   2      0.02    0.00    0.00    0.00   0.004    0.02    N/A     N/A   0
 1    D3b 6.200   1      0.00    0.00    0.00    0.00   0.004    0.00    0.00    0.00  0
 1    D3a 6.200   1      0.00    0.00    0.00    0.00   0.004    0.01   -0.00   -0.00  0
 1    D3b 6.200   2      0.00    0.00    0.00    0.00   0.004    0.00    N/A     N/A   0
 2    D2c 6.200   1      0.00    0.00    0.00    0.00   0.001    0.01   -0.01    0.01  0
 2    D2b 6.200   1      0.01    0.00    0.00    0.00   0.021    0.02    0.02    0.01  0
 2    D2a 6.200   1      0.01    0.00    0.00    0.00   0.021    0.02   -0.02   -0.02  0
 2    D2c 6.200   3      0.03    0.00    0.00    0.00   0.017    0.02    N/A     N/A   0
chimul                   0.04    0.00    0.00    0.00   0.012    0.02    N/A     N/A   0
log(Likelihood)          9.65

chitot           0.04
log(Likelihood)    9.65
