#REFERENCE 3 47.2332780 26.7604950
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
   D2a   -16.889    10.846    20.072       nan       nan     3.050     0.000      1.21  -28904.3       0.0    +-
   D2a    -4.855     3.395     5.924       nan       nan     0.775     0.000     -0.28  -28062.7     841.7    --
   D2a    32.131   -41.048    52.128       nan       nan    14.442     3.672      2.90  -72598.0  -43693.7    ++
   D2a    32.593   -40.534    52.013       nan       nan    14.703     7.224      2.92  -72598.0  -43693.6    +-
   D2a    33.279   -39.917    51.970       nan       nan    13.551     2.873      2.83  -72598.3  -43694.0    ++
   D2b   -16.802    10.808    19.978       nan       nan     3.048     0.000      1.21  -28841.5      62.9    +-
   D2b    -4.909     3.437     5.993       nan       nan     0.792     0.000     -0.25  -28026.9     877.4    --
   D2b    32.130   -41.115    52.181       nan       nan    12.778     2.901      2.77  -72677.7  -43773.4    ++
   D2b    32.639   -40.547    52.052       nan       nan    11.869     5.354      2.69  -72677.5  -43773.1    +-
   D2b    33.318   -39.942    52.014       nan       nan    12.913     2.708      2.78  -72678.2  -43773.8    ++
   D2c   -16.846    10.829    20.027       nan       nan     3.049     0.000      1.21  -28874.0      30.3    +-
   D2c    -4.881     3.415     5.957       nan       nan     0.783     0.000     -0.27  -28045.4     858.9    --
   D2c    32.119   -41.094    52.157       nan       nan    13.164     3.027      2.80  -72637.6  -43733.3    ++
   D2c    32.629   -40.527    52.029       nan       nan    12.947     6.066      2.78  -72637.1  -43732.8    +-
   D2c    33.286   -39.940    51.992       nan       nan    13.509     2.950      2.83  -72637.6  -43733.3    ++
   D3a   -16.959    10.903    20.161       nan       nan     3.052     0.000      1.21  -28964.6       0.0    +-
   D3a    -4.799     3.362     5.860       nan       nan     0.758     0.000     -0.30  -28096.2     868.3    --
   D3a    31.985   -41.149    52.118       nan       nan    11.600     2.014      2.66  -72534.8  -43570.2    ++
   D3a    32.795   -40.292    51.951       nan       nan    43.514    62.945      4.10  -72533.9  -43569.3    +-
   D3b   -16.943    10.896    20.144       nan       nan     3.051     0.000      1.21  -28952.5      12.0    +-
   D3b    -4.810     3.370     5.873       nan       nan     0.762     0.000     -0.30  -28089.4     875.1    --
   D3b    31.986   -41.162    52.128       nan       nan    11.444     1.960      2.65  -72550.5  -43585.9    ++
   D3b    32.800   -40.298    51.960       nan       nan    38.749    38.453      3.97  -72549.5  -43585.0    +-
   D4a   -16.921    10.848    20.100       nan       nan     3.052     0.000      1.21  -28923.8       0.0    +-
   D4a    -4.841     3.378     5.903       nan       nan     0.769     0.000     -0.28  -28073.9     849.9    --
   D4a    32.236   -40.907    52.081       nan       nan    28.200    41.523      3.63  -72567.2  -43643.4    ++
   D4a    32.466   -40.648    52.022       nan       nan    42.798    89.504      4.08  -72567.5  -43643.8    +-
   D4a    33.342   -39.839    51.950       nan       nan    12.355     2.178      2.73  -72568.4  -43644.6    ++
   D4b   -16.937    10.855    20.116       nan       nan     3.052     0.000      1.21  -28934.8     -11.1    +-
   D4b    -4.831     3.371     5.891       nan       nan     0.766     0.000     -0.29  -28080.1     843.7    --
   D4b    32.439   -40.666    52.019       nan       nan   156.524  1540.628      5.49  -72553.0  -43629.3    +-
   D4b    33.340   -39.830    51.942       nan       nan    12.368     2.161      2.73  -72554.0  -43630.2    ++
