# PHOTMJSR values in jwst_1126.pmap and associated zeropoints
# Uses post-Commissioning throughputs
# CALSPEC spectrum for Vega: alpha_lyr_stis_011.ascii
# CALSPEC spectrum for Sirius: sirius_stis_005.ascii
| pupil+filter |      sca | PHOTMJSR | zp_vega |  vega_Jy | zp_vega-sirius | vega-sirius_Jy | zp_AB | mean_pix_sr |
|  CLEAR+F070W |    NRCA1 |    4.400 |   26.12 |  2763.19 |          26.18 |        2924.34 | 28.02 |  2.2433e-14 |
|  CLEAR+F070W |    NRCA2 |    4.494 |   26.10 |  2764.21 |          26.16 |        2925.47 | 28.03 |  2.2266e-14 |
|  CLEAR+F070W |    NRCA3 |    4.365 |   26.12 |  2765.48 |          26.18 |        2926.89 | 28.01 |  2.2647e-14 |
|  CLEAR+F070W |    NRCA4 |    3.997 |   26.22 |  2767.26 |          26.28 |        2928.87 | 28.02 |  2.2458e-14 |
|  CLEAR+F070W |    NRCB1 |    4.608 |   26.08 |  2772.10 |          26.14 |        2934.11 | 28.03 |  2.2219e-14 |
|  CLEAR+F070W |    NRCB2 |    4.555 |   26.06 |  2767.49 |          26.12 |        2928.98 | 28.00 |  2.2875e-14 |
|  CLEAR+F070W |    NRCB3 |    4.573 |   26.08 |  2763.52 |          26.14 |        2924.55 | 28.02 |  2.2402e-14 |
|  CLEAR+F070W |    NRCB4 |    3.920 |   26.21 |  2763.98 |          26.27 |        2925.07 | 27.99 |  2.3067e-14 |
|  CLEAR+F090W |    NRCA1 |    3.179 |   26.24 |  2243.18 |          26.28 |        2314.51 | 28.02 |  2.2433e-14 |
|  CLEAR+F090W |    NRCA2 |    3.405 |   26.18 |  2243.12 |          26.21 |        2314.43 | 28.03 |  2.2266e-14 |
|  CLEAR+F090W |    NRCA3 |    3.132 |   26.25 |  2243.74 |          26.28 |        2315.31 | 28.01 |  2.2647e-14 |
|  CLEAR+F090W |    NRCA4 |    3.008 |   26.30 |  2244.22 |          26.34 |        2315.99 | 28.02 |  2.2458e-14 |
|  CLEAR+F090W |    NRCB1 |    3.637 |   26.11 |  2248.22 |          26.15 |        2320.83 | 28.03 |  2.2219e-14 |
|  CLEAR+F090W |    NRCB2 |    3.534 |   26.11 |  2246.87 |          26.14 |        2318.91 | 28.00 |  2.2875e-14 |
|  CLEAR+F090W |    NRCB3 |    3.501 |   26.14 |  2245.98 |          26.18 |        2317.64 | 28.02 |  2.2402e-14 |
|  CLEAR+F090W |    NRCB4 |    3.138 |   26.23 |  2246.13 |          26.26 |        2317.84 | 27.99 |  2.3067e-14 |
|  CLEAR+F115W |    NRCA1 |    3.106 |   26.00 |  1746.62 |          26.03 |        1791.24 | 28.02 |  2.2433e-14 |
|  CLEAR+F115W |    NRCA2 |    3.190 |   25.98 |  1745.72 |          26.00 |        1790.30 | 28.03 |  2.2266e-14 |
|  CLEAR+F115W |    NRCA3 |    3.113 |   25.99 |  1747.93 |          26.01 |        1792.59 | 28.01 |  2.2647e-14 |
|  CLEAR+F115W |    NRCA4 |    2.846 |   26.09 |  1749.15 |          26.12 |        1793.86 | 28.02 |  2.2458e-14 |
|  CLEAR+F115W |    NRCB1 |    3.360 |   25.92 |  1749.22 |          25.95 |        1794.02 | 28.03 |  2.2219e-14 |
|  CLEAR+F115W |    NRCB2 |    3.194 |   25.95 |  1745.43 |          25.97 |        1790.10 | 28.00 |  2.2875e-14 |
|  CLEAR+F115W |    NRCB3 |    3.239 |   25.95 |  1743.77 |          25.98 |        1788.38 | 28.02 |  2.2402e-14 |
|  CLEAR+F115W |    NRCB4 |    2.769 |   26.09 |  1744.32 |          26.12 |        1788.94 | 27.99 |  2.3067e-14 |
|  CLEAR+F150W |    NRCA1 |    2.333 |   25.88 |  1172.30 |          25.90 |        1193.90 | 28.02 |  2.2433e-14 |
|  CLEAR+F150W |    NRCA2 |    2.412 |   25.85 |  1172.20 |          25.87 |        1193.80 | 28.03 |  2.2266e-14 |
|  CLEAR+F150W |    NRCA3 |    2.296 |   25.88 |  1172.47 |          25.90 |        1194.08 | 28.01 |  2.2647e-14 |
